#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          18     2.46073     7.82851    0.952807
          18     2.63044     6.88232    0.785216
          18     2.80014     6.00629    0.209785
          18     2.96985     5.26765    0.238855
          18     3.13955     4.52964    0.218246
          18     3.30926     4.12933     0.23202
          18     3.47897     3.44518    0.160432
          18     3.64867     2.94236    0.144222
          18     3.81838     2.38131    0.159465
          18     3.98808     1.92124    0.155175
          18     4.15779     1.61615    0.135417
          18     4.32749     1.15213     0.11516
          18      4.4972    0.910736   0.0784389
          18      4.6669    0.591944   0.0720391
          18     4.83661    0.458806   0.0797835
          18     5.00632    0.996778    0.103929
          19   0.0848528   0.0518816   0.0262276
          19    0.254558    0.389237    0.065651
          19    0.424264    0.624408   0.0375144
          19     0.59397     1.14868   0.0839132
          19    0.763675     2.25254    0.140964
          19    0.933381     3.16568     0.22484
          19     1.10309     3.88288    0.226252
          19     1.27279     5.20378    0.253211
          19      1.4425     5.60266    0.252359
          19      1.6122     6.32753    0.285851
          19     1.78191     6.98208    0.365358
          19     1.95161     7.11572    0.312562
          19     2.12132     7.06963    0.310455
          19     2.29103     7.36811    0.574961
          19     2.46073     7.63964    0.921188
          19     2.63044     6.86238    0.744142
          19     2.80014     5.96497    0.202772
          19     2.96985     5.20058    0.235513
          19     3.13955     4.58307    0.213199
          19     3.30926     4.14122    0.220113
          19     3.47897     3.42076    0.153835
          19     3.64867     2.94613     0.13668
          19     3.81838     2.35961    0.152542
          19     3.98808     1.89736    0.148834
          19     4.15779     1.58978    0.130834
          19     4.32749      1.1313    0.110965
          19      4.4972    0.961829   0.0894155
          19      4.6669    0.625684   0.0757377
          19     4.83661    0.469211   0.0762599
          19     5.00632     1.02166    0.101394
          20   0.0848528   0.0492875   0.0250442
          20    0.254558    0.372162   0.0645506
          20    0.424264      0.6229    0.035669
          20     0.59397     1.17342   0.0832849
          20    0.763675     2.20179     0.14276
          20    0.933381     3.15613    0.213801
          20     1.10309      3.9701     0.23114
          20     1.27279     5.26541    0.247939
          20      1.4425     5.66122    0.246443
          20      1.6122     6.33186    0.271591
          20     1.78191     7.00577    0.347857
          20     1.95161     7.09652    0.297523
          20     2.12132     7.07495    0.294978
          20     2.29103     7.33905    0.546947
          20     2.46073     7.61401    0.875485
          20     2.63044     6.79036    0.710412
          20     2.80014     5.90687    0.200784
          20     2.96985     5.18164    0.224498
          20     3.13955     4.57864    0.202585
          20     3.30926     4.12395    0.209784
          20     3.47897     3.37246    0.153539
          20     3.64867     2.95151    0.129952
          20     3.81838     2.35898    0.144916
          20     3.98808     1.91296    0.142208
          20     4.15779     1.61816    0.127334
          20     4.32749     1.14927    0.106862
          20      4.4972    0.999262    0.092449
          20      4.6669     0.61105    0.073351
          20     4.83661    0.477262   0.0728707
          20     5.00632     1.03301   0.0969577
          21   0.0848528   0.0474643   0.0239179
          21    0.254558    0.371655   0.0614788
          21    0.424264    0.633643   0.0355514
          21     0.59397     1.16211   0.0800843
          21    0.763675     2.22235    0.137434
          21    0.933381     3.15632     0.20362
          21     1.10309     3.95713    0.220497
          21     1.27279     5.25354    0.236416
          21      1.4425     5.68075     0.23548
          21      1.6122     6.28683    0.262365
          21     1.78191     6.94257    0.336986
          21     1.95161     7.01938    0.293186
          21     2.12132     7.05587    0.281547
          21     2.29103     7.48743    0.540654
          21     2.46073     7.73349    0.841908
          21     2.63044      6.7936     0.67659
          21     2.80014     5.88718    0.192186
          21     2.96985     5.13942    0.217741
          21     3.13955     4.62604    0.198405
          21     3.30926     4.07999    0.204349
          21     3.47897     3.36211    0.146576
          21     3.64867     2.93087    0.125393
          21     3.81838     2.34719    0.138493
          21     3.98808     1.89168     0.13702
          21     4.15779     1.63302    0.122135
          21     4.32749     1.15367    0.101864
          21      4.4972    0.991333    0.088386
          21      4.6669    0.624619   0.0711021
          21     4.83661    0.485536   0.0698687
          21     5.00632     1.04324   0.0928783
          22   0.0848528   0.0453636   0.0229227
          22    0.254558    0.358761   0.0600211
          22    0.424264    0.682068    0.058224
          22     0.59397     1.16973   0.0768058
          22    0.763675      2.2524    0.134433
          22    0.933381     3.19145    0.197372
          22     1.10309      3.9929    0.213356
          22     1.27279     5.21719    0.228446
          22      1.4425     5.69072    0.224987
          22      1.6122       6.211    0.261169
          22     1.78191     6.88318     0.32686
          22     1.95161     6.97881    0.282653
          22     2.12132      7.0796    0.269748
          22     2.29103      7.4445     0.51778
          22     2.46073      7.7682    0.804355
          22     2.63044     6.81914    0.646318
          22     2.80014     5.93294    0.188821
          22     2.96985     5.21355    0.220101
          22     3.13955     4.62747    0.189392
          22     3.30926      4.0539    0.196719
          22     3.47897     3.29751    0.153489
          22     3.64867     2.88888     0.12653
          22     3.81838      2.3143    0.136049
          22     3.98808     1.87302    0.132056
          22     4.15779     1.60405    0.119972
          22     4.32749     1.14898   0.0973416
          22      4.4972     1.00089   0.0848832
          22      4.6669    0.688136   0.0919642
          22     4.83661     0.52592   0.0774902
          22     5.00632     1.04547   0.0886833
          23   0.0848528   0.0434783   0.0220035
          23    0.254558    0.352239   0.0577647
          23    0.424264     0.67488   0.0561345
          23     0.59397     1.16287   0.0737719
          23    0.763675     2.22978    0.130476
          23    0.933381     3.17149    0.189798
          23     1.10309     3.97691    0.204677
          23     1.27279     5.21118    0.218593
          23      1.4425     5.70628    0.215743
          23      1.6122     6.27686    0.257984
          23     1.78191     6.90927    0.313688
          23     1.95161     6.99435    0.270791
          23     2.12132     7.10243    0.258985
          23     2.29103     7.45691    0.495417
          23     2.46073     7.73586    0.770033
          23     2.63044     6.88409    0.621472
          23     2.80014     5.88872    0.185718
          23     2.96985     5.15208    0.218947
          23     3.13955     4.61654    0.181472
          23     3.30926     4.02563    0.190186
          23     3.47897     3.34812    0.154934
          23     3.64867     2.88586    0.121065
          23     3.81838     2.33428    0.131594
          23     3.98808     1.86326    0.126674
          23     4.15779     1.58615    0.116082
          23     4.32749      1.1296   0.0950189
          23      4.4972    0.981022   0.0834846
          23      4.6669     0.69362   0.0881291
          23     4.83661    0.525424   0.0741227
          23     5.00632      1.0808   0.0915981
          24   0.0848528   0.0416979   0.0211586
          24    0.254558    0.344417    0.055885
          24    0.424264     0.66425   0.0547928
          24     0.59397     1.15517   0.0710991
          24    0.763675     2.22259    0.125238
          24    0.933381     3.14236    0.184111
          24     1.10309     3.94085      0.1993
          24     1.27279     5.15376    0.216896
          24      1.4425     5.74347    0.209934
          24      1.6122     6.31875    0.250612
          24     1.78191     7.02245    0.320384
          24     1.95161     7.04292    0.263828
          24     2.12132     7.19855    0.265431
          24     2.29103     7.47391    0.475066
          24     2.46073     7.71218    0.738313
          24     2.63044     6.76547    0.606792
          24     2.80014       5.984    0.200941
          24     2.96985      5.1038     0.21508
          24     3.13955     4.55059    0.185508
          24     3.30926     3.98907    0.185742
          24     3.47897     3.35907    0.148865
          24     3.64867     2.89094    0.116127
          24     3.81838     2.28122     0.13639
          24     3.98808     1.83533    0.124437
          24     4.15779     1.57858    0.111492
          24     4.32749     1.12131   0.0914203
          24      4.4972     1.00072   0.0822969
          24      4.6669    0.709177   0.0858193
          24     4.83661    0.526969   0.0710503
          24     5.00632     1.12642   0.0984855
          25   0.0848528     0.04194   0.0203136
          25    0.254558     0.34387   0.0536523
          25    0.424264     0.65933   0.0528216
          25     0.59397     1.14007   0.0698395
          25    0.763675     2.23321    0.120677
          25    0.933381     3.13529    0.176882
          25     1.10309     3.96088    0.192331
          25     1.27279       5.128    0.209745
          25      1.4425     5.78272    0.205173
          25      1.6122     6.34321    0.241779
          25     1.78191     7.00853    0.307871
          25     1.95161     7.06345    0.254072
          25     2.12132     7.21364    0.255242
          25     2.29103      7.4657    0.456134
          25     2.46073     7.69096    0.709085
          25     2.63044     6.75731    0.582575
          25     2.80014     5.97114    0.193315
          25     2.96985     5.13419    0.208612
          25     3.13955     4.56997    0.179097
          25     3.30926     3.96249    0.180204
          25     3.47897     3.34019    0.144103
          25     3.64867       2.873    0.112859
          25     3.81838     2.27256    0.131209
          25     3.98808     1.81197    0.121633
          25     4.15779     1.56761    0.107571
          25     4.32749     1.12387   0.0877992
          25      4.4972      1.0135   0.0799914
          25      4.6669     0.71624   0.0826766
          25     4.83661     0.54222    0.069826
          25     5.00632     1.13294   0.0947619
          26   0.0848528   0.0410096   0.0195536
          26    0.254558    0.333904   0.0525062
          26    0.424264    0.643221   0.0531896
          26     0.59397      1.1413   0.0671642
          26    0.763675     2.25787    0.118528
          26    0.933381     3.14235     0.17022
          26     1.10309     3.96189    0.184937
          26     1.27279     5.16959    0.205759
          26      1.4425     5.75433    0.199237
          26      1.6122     6.31935    0.233654
          26     1.78191      6.9789    0.297452
          26     1.95161     7.10619    0.247869
          26     2.12132     7.19927    0.245829
          26     2.29103     7.49442    0.439494
          26     2.46073     7.68545    0.681834
          26     2.63044     6.74627    0.560273
          26     2.80014     5.95675    0.186414
