#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          21     2.94628    0.425825   0.0294212
          21     3.18198    0.333279   0.0200026
          21     3.41768    0.274064   0.0202311
          21     3.65339    0.200252   0.0129213
          21     3.88909    0.141462   0.0138542
          21     4.12479   0.0915422  0.00997192
          21     4.36049   0.0556308  0.00683005
          21     4.59619   0.0405333  0.00831192
          21      4.8319    0.034459  0.00607271
          21      5.0676    0.046662  0.00745012
          21      5.3033   0.0153128  0.00333413
          21       5.539  0.00273628  0.00113665
          21     5.77471 0.000134869 7.78624e-05
          21     6.01041  0.00231352  0.00205273
          21     6.24611 0.000132275 0.000109706
          21     6.48181 3.11236e-05 3.03735e-05
          21     6.71751 0.000733997 0.000716308
          21     6.95322 0.000191929 0.000187303
          22    0.117851  0.00560259  0.00156031
          22    0.353553   0.0392751  0.00727448
          22    0.589256   0.0902406   0.0114199
          22    0.824958    0.175812   0.0150725
          22     1.06066    0.261641   0.0148412
          22     1.29636    0.346685    0.023504
          22     1.53206    0.428347   0.0327001
          22     1.76777    0.507623    0.035034
          22     2.00347    0.477196   0.0300867
          22     2.23917    0.632039   0.0449113
          22     2.47487    0.702498    0.106509
          22     2.71058    0.547222    0.038953
          22     2.94628    0.425292   0.0280887
          22     3.18198     0.33061   0.0192706
          22     3.41768    0.278092   0.0197085
          22     3.65339    0.202743   0.0125719
          22     3.88909    0.139431   0.0133725
          22     4.12479   0.0901713  0.00961242
          22     4.36049   0.0558205  0.00652223
          22     4.59619   0.0391761  0.00804414
          22      4.8319    0.036376  0.00609176
          22      5.0676   0.0466627  0.00711148
          22      5.3033   0.0153322  0.00318264
          22       5.539  0.00432759  0.00189588
          22     5.77471 0.000792236  0.00064654
          22     6.01041  0.00230491  0.00195944
          22     6.24611 0.000126263 0.000104884
          22     6.48181 2.97089e-05 2.90258e-05
          22     6.71751 0.000700634 0.000684525
          22     6.95322 0.000183205 0.000178992
          23    0.117851  0.00581368  0.00150668
          23    0.353553   0.0402482  0.00702297
          23    0.589256   0.0886544    0.011033
          23    0.824958    0.176025   0.0144187
          23     1.06066    0.262276   0.0142096
          23     1.29636    0.346237   0.0224863
          23     1.53206     0.43008   0.0313242
          23     1.76777    0.507377   0.0335117
          23     2.00347    0.484172   0.0295762
          23     2.23917     0.63474   0.0430398
          23     2.47487    0.694179    0.102202
          23     2.71058    0.543251   0.0374613
          23     2.94628    0.420138   0.0273362
          23     3.18198    0.334453   0.0188121
          23     3.41768    0.282606   0.0193617
          23     3.65339    0.201267   0.0121117
          23     3.88909    0.135559   0.0133398
          23     4.12479   0.0921284  0.00939161
          23     4.36049   0.0563299  0.00625852
          23     4.59619    0.038079  0.00776885
          23      4.8319    0.038053  0.00605331
          23      5.0676   0.0455551    0.006888
          23      5.3033   0.0146656  0.00311329
          23       5.539  0.00650753  0.00279895
          23     5.77471 0.000757791 0.000619346
          23     6.01041   0.0022047  0.00187681
          23     6.24611 0.000120773 0.000100467
          23     6.48181 2.84172e-05 2.77925e-05
          23     6.71751 0.000670171 0.000655441
          23     6.95322 0.000175239 0.000171387
          24    0.117851  0.00601625  0.00145746
          24    0.353553   0.0445148  0.00792106
          24    0.589256   0.0881241    0.010586
          24    0.824958     0.17569   0.0138218
          24     1.06066    0.256084   0.0149056
          24     1.29636    0.351437   0.0221424
          24     1.53206    0.423552   0.0306916
          24     1.76777    0.502962   0.0324049
          24     2.00347    0.489679    0.028852
          24     2.23917    0.639195   0.0414764
          24     2.47487    0.691038   0.0979923
          24     2.71058    0.544705   0.0359286
          24     2.94628    0.417273    0.026347
          24     3.18198     0.33728   0.0182394
          24     3.41768    0.281084   0.0186147
          24     3.65339    0.201044   0.0116091
          24     3.88909     0.13381   0.0128982
          24     4.12479    0.098484   0.0109415
          24     4.36049   0.0566335  0.00600511
          24     4.59619   0.0367874  0.00755175
          24      4.8319   0.0367443  0.00594087
          24      5.0676   0.0438635  0.00680555
          24      5.3033   0.0140546  0.00304295
          24       5.539  0.00850581  0.00331988
          24     5.77471 0.000726216 0.000594344
          24     6.01041  0.00211284  0.00180086
          24     6.24611 0.000115741 9.64072e-05
          24     6.48181 2.72331e-05 2.66597e-05
          24     6.71751 0.000642248 0.000628725
          24     6.95322 0.000167938 0.000164402
          25    0.117851   0.0057756  0.00141889
          25    0.353553   0.0439237  0.00762624
          25    0.589256   0.0869956   0.0102226
          25    0.824958    0.173525   0.0134374
          25     1.06066    0.252009   0.0148562
          25     1.29636    0.355142   0.0215644
          25     1.53206    0.424721   0.0294862
          25     1.76777    0.503471   0.0311127
          25     2.00347    0.491192   0.0277375
          25     2.23917    0.647159   0.0405747
          25     2.47487     0.68744   0.0941386
          25     2.71058    0.542845   0.0345396
          25     2.94628    0.422041   0.0257211
          25     3.18198    0.337277   0.0175098
          25     3.41768    0.273987   0.0191755
          25     3.65339    0.198089   0.0115145
          25     3.88909    0.134906   0.0124287
          25     4.12479    0.101044    0.010799
